Section,Field,Proposal A,Proposal B,Proposal C,Why it matters
Provider,Legal business name,,,,Confirms who is offering the contract
Provider,Direct contact information,,,,Separates the provider from the matching publisher
Provider,Service area confirmed for property,,,,Availability must be verified directly
Provider,Insurance evidence reviewed where appropriate,,,,Property owner verification item
Scope,Measured gutter footage by elevation,,,,Floor area does not determine eave length
Scope,Projected roof area by drainage section,,,,Shows what feeds each run
Scope,Roof pitch and valley concentration noted,,,,Identifies high-flow locations
Scope,Existing fascia soffit drip-edge condition,,,,Defines possible related-trade work
System,Gutter profile and nominal size,,,,Needed for like-for-like comparison
System,Material thickness or gauge and finish,,,,Defines the actual product
System,Hanger type spacing and fasteners,,,,Affects attachment scope
System,Inside and outside corners listed,,,,Identifies fabrication and joint count
Flow,Outlet count dimensions and placement,,,,Outlets can limit a run
Flow,Downspout dimensions elbows and offsets,,,,Leaders must match the system
Flow,Final discharge endpoint for each downspout,,,,Roof water needs an appropriate destination
Optional,Gutter guard product and attachment method,,,,Protection does not eliminate maintenance
Optional,Removal and disposal included,,,,Prevents hidden scope differences
Optional,Fascia soffit or roof-edge work included or excluded,,,,Clarifies responsibility boundaries
Optional,Underground drainage included or excluded,,,,Often requires separate scope
Commercial,Written total and taxes,,,,Compare after specifications align
Commercial,Deposit and payment schedule,,,,Confirm before authorizing work
Commercial,Change-order process,,,,Defines how surprises are handled
Commercial,Product warranty issuer and terms,,,,Verify current written terms
Commercial,Workmanship warranty issuer and terms,,,,Verify directly with the provider
Commercial,Cleanup and property protection,,,,Sets completion expectations
Decision,Open questions before hiring,,,,Record unresolved differences
Reference,Installation scope,https://katygutterpros.com/gutter-installation/,,,Tier A canonical planning target
Reference,Repair scope,https://katygutterpros.com/gutter-repair/,,,Tier A canonical planning target
Reference,Seamless gutter specifications,https://katygutterpros.com/seamless-gutters/,,,Tier A canonical planning target
Disclosure,Publisher role,Katy Gutter Pros does not perform gutter work.,,,Independent providers inspect quote and perform any authorized work
